	SITE_ID	INDUSTRY	SUB_INDUSTRY	SQ_FT	LAT	LNG	ADDRESS	STATE	ZIP_CODE
45	228	Education	Primary/Secondary School	77247	35.58568398	-106.3737145	BIA-85, Peña Blanca, NM 87041, USA	NM	87041
46	236	Education	Primary/Secondary School	92032	34.90931424	-107.0155435	Indian Service Rte 611, Albuquerque, NM 87151, USA	NM	87151
47	259	Education	Primary/Secondary School	153699	40.8828578	-73.56775637	99 Kaintuck Ln, Locust Valley, NY 11560, USA	NY	11560
48	270	Education	Primary/Secondary School	276443	39.70345378	-75.36276254	471 Auburn Rd, Pilesgrove, NJ 08098, USA	NJ	08098
49	275	Education	Primary/Secondary School	108405	40.26934257	-74.74514292	6 Rossa Ave, Lawrence Township, NJ 08648, USA	NJ	08648
50	281	Food Sales & Storage	Grocer/Market	48878	33.61963386	-116.6222695	32094 Morris Ranch Rd, Mountain Center, CA 92561, USA	CA	92561
51	285	Food Sales & Storage	Grocer/Market	42534	33.95631704	-117.0477889	11398 Aaron Ave, Calimesa, CA 92320, USA	CA	92320
52	304	Food Sales & Storage	Grocer/Market	31022	34.77380195	-117.063032	Unnamed Road, Barstow, CA 92311, USA	CA	92311
53	339	Food Sales & Storage	Grocer/Market	27988	34.42182061	-117.7651881	28269 Largo Vista Rd, Valyermo, CA 93563, USA	CA	93563
54	341	Food Sales & Storage	Grocer/Market	54589	42.02888731	-71.62585461	324 Chestnut St, Uxbridge, MA 01569, USA	MA	01569
55	363	Food Sales & Storage	Grocer/Market	31964	34.49497719	-117.0152966	13175 Ivanhoe Rd, Lucerne Valley, CA 92356, USA	CA	92356
56	366	Food Sales & Storage	Grocer/Market	54178	41.49974856	-72.80533999	13 Partridge Run, Wallingford, CT 06492, USA	CT	06492
57	384	Food Sales & Storage	Grocer/Market	27625	34.29665466	-118.2585456	Delta Canyon Rd, Tujunga, CA 91042, USA	CA	91042
58	386	Food Sales & Storage	Grocer/Market	43690	33.56634185	-117.6659077	Los Altos, Mission Viejo, CA 92691, USA	CA	92691
59	391	Food Sales & Storage	Grocer/Market	56926	40.65600584	-73.83714808	161-04 95th St, Jamaica, NY 11414, USA	NY	11414
60	399	Food Sales & Storage	Grocer/Market	45105	40.97791628	-72.32981842	Paumanok Path, Sag Harbor, NY 11963, USA	NY	11963
