,datetime,predict_TS,predict_residual,predict_value,SITE_ID,value,TS,residual
0,2012-11-01,7600.406198329503,-56.14435566440788,7544.261842665095,6,7434.270500000002,7340.186244787624,94.08425521237886
1,2012-11-02,7758.019210871653,15.033779695369372,7773.052990567022,6,7493.196700000005,7508.9119755568545,-15.715275556849917
2,2012-11-03,7828.866115410629,-26.916579666961564,7801.949535743668,6,7483.670899999998,7577.079068413999,-93.40816841400101
3,2012-11-04,7213.096638050387,21.682119994982745,7234.77875804537,6,6528.963100000002,6814.437440847429,-285.47434084742645
4,2012-11-05,7400.146168721622,-10.120921752510503,7390.025246969112,6,6891.524100000003,6984.881274463138,-93.35717446313436
5,2012-11-06,7852.11404301021,97.05372386677813,7949.167766876988,6,7723.947399999994,7517.830697297177,206.11670270281644
6,2012-11-07,8025.80155661768,143.50562435235193,8169.307180970032,6,7839.0593,7859.274141490921,-20.21484149092069
7,2012-11-08,8002.552979074635,-83.42720350669529,7919.12577556794,6,7545.145999999998,8229.89893050191,-684.7529305019114
8,2012-11-09,8203.843780592535,-44.26918241003994,8159.574598182495,6,7995.791500000005,8665.260275556855,-669.4687755568498
9,2012-11-10,8313.054176827158,0.24598685095491868,8313.300163678112,6,9033.932399999998,8849.837068414,184.09533158599697
10,2012-11-11,7734.315258400446,298.9124467495335,8033.227705149979,6,9973.105099999999,8122.818140847428,1850.286959152571
11,2012-11-12,7942.819632214379,408.038055760054,8350.857687974434,6,8857.716800000002,8383.210788748853,474.5060112511484
12,2012-11-13,8404.28282592262,-185.15081150400212,8219.13201441862,6,8767.377800000004,9018.340597297176,-250.96279729717247
13,2012-11-14,8579.337921939901,-1427.4137709961378,7151.924150943763,6,8380.227300000002,9098.00382720521,-717.7765272052065
14,2012-11-15,8547.858980169456,-202.2344696480538,8345.624510521402,6,8285.663200000008,8697.616116216197,-411.9529162161895
15,2012-11-16,8727.048906363658,-18.19793807673799,8708.850968286919,6,9213.648999999992,8673.760389842571,539.8886101574212
16,2012-11-17,8802.73651780643,482.3446149162021,9285.081132722633,6,8751.732400000006,8600.073682699714,151.65871730029176
17,2012-11-18,8184.224977654679,-171.3946369775759,8012.830340677103,6,8020.159600000004,7753.334169418857,266.82543058114743
18,2012-11-19,8333.826279043993,-67.98092076540864,8265.845358278584,6,7609.3899999999985,7803.546831605994,-194.15683160599554
19,2012-11-20,8722.37981803121,-82.8739749688607,8639.505843062349,6,8002.963699999997,8445.37776872575,-442.41406872575357
20,2012-11-21,8815.9731995698,-143.60538301651832,8672.367816553282,6,8083.351200000002,8705.666355776637,-622.3151557766341
21,2012-11-22,8694.713792589037,126.89669419319893,8821.610486782236,6,7554.920500000001,8648.25720193048,-1093.3367019304803
22,2012-11-23,8773.278913384765,823.080473544268,9596.359386929034,6,10478.414400000009,8862.095775556858,1616.3186244431513
23,2012-11-24,8741.696911091372,913.1584617423426,9654.855372833716,6,9733.9099,9012.292025556857,721.6178744431436
24,2012-11-25,8016.157180495129,186.7560114488441,8202.913191943973,6,8468.063999999998,8298.525312276,169.53868772399846
25,2012-11-26,8047.727536839388,-744.6929897606126,7303.034547078776,6,8024.9232999999995,8502.056174463138,-477.13287446313905
26,2012-11-27,8313.889803356136,-188.5561302243783,8125.333673131758,6,8805.730299999996,8612.44638301146,193.28391698853517
27,2012-11-28,8287.548455131458,142.98333419253882,8430.531789323997,6,8717.2847,8477.388427205206,239.89627279479552
28,2012-11-29,8050.214784732636,-21.6287362053817,8028.586048527254,6,7897.4052,8256.138701930478,-358.733501930478
29,2012-11-30,8014.987627809942,-331.6991928965029,7683.288434913439,6,8023.094699999998,8457.492475556854,-434.39777555685527
30,2012-12-01,7876.79130046613,-251.66021892103575,7625.131081545094,6,7948.661599999997,8558.06611127114,-609.4045112711437
31,2012-12-02,7059.125379152361,553.7226527276988,7612.84803188006,6,7769.084399999996,7701.579340847426,67.505059152571
32,2012-12-03,7001.949138018693,388.85287512942193,7390.802013148114,6,8353.063000000006,7871.473303034564,481.5896969654415
33,2012-12-04,7189.22478995344,250.54607947564728,7439.770869429088,6,9261.138599999997,8431.425568725745,829.7130312742515
34,2012-12-05,7100.211401684875,-51.83983943927861,7048.371562245597,6,8352.177799999998,8683.94864149092,-331.77084149092207
35,2012-12-06,6817.066058130247,-40.17610400186049,6776.889954128387,6,8004.431600000003,8889.514416216194,-885.0828162161922
36,2012-12-07,6750.266461335711,-297.52230049698306,6452.744160838728,6,8714.709399999994,9195.790104128282,-481.0807041282873
37,2012-12-08,6598.323808181652,322.658741711418,6920.9825498930695,6,8876.480500000001,9233.176654128283,-356.6961541282817
38,2012-12-09,5790.496827264922,418.9950246789908,6209.4918519439125,6,10057.813300000002,8481.59555513314,1576.2177448668613
39,2012-12-10,5753.873651708736,817.0641464415412,6570.937798150278,6,9415.656099999998,8746.31581732028,669.3402826797184
40,2012-12-11,5976.958300957798,-32.9937141015263,5943.964586856272,6,9274.237299999999,9217.16176872575,57.07553127424903
41,2012-12-12,5943.289865599647,-793.3883017126988,5149.901563886948,6,8721.410600000001,9415.893041490923,-694.4824414909208
42,2012-12-13,5733.504162535504,-273.2749231930488,5460.229239342456,6,8775.242100000003,9140.27747335905,-365.0353733590479
43,2012-12-14,5753.244183487775,-74.2753083261931,5678.968875161582,6,8782.579900000002,9312.796861271143,-530.21696127114
44,2012-12-15,5702.395297163821,114.66863876810186,5817.063935931923,6,9427.756799999997,9485.743225556858,-57.98642555686092
45,2012-12-16,5013.811219287675,132.5445067936231,5146.355726081299,6,8978.272800000002,8962.859497990288,15.413302009714698
